conditionId	conditionName	Fsk_level	Fsk_time	H89_level	H89_time	IBMX_level	IBMX_time	Rp8_Br_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_pCPT_cAMPS_pAB_time	Rp_cAMPS_pAB_level	Rp_cAMPS_pAB_time	Sp8_Br_cAMPS_AM_level	Sp8_Br_cAMPS_AM_time	fourABnOH_level	fourABnOH_time	Fentanyl_level	Fentanyl_time	DAMGO_level	DAMGO_time	fiveHT_level	fiveHT_time
model1_data49	JI09_150330_Drg350_348_CycNuc__ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data50	JI09_150330_Drg350_348_CycNuc__IBMX100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data51	JI09_150330_Drg350_348_CycNuc__Fsk10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data52	JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10	10	10	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data53	JI09_150330_Drg350_348_CycNuc__Sp8_Br_cAMPS_AM10	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0
model1_data184	Insilico__ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data185	Insilico__DAMGO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
model1_data186_1	Insilico__DAMGO_and_5-HT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0
model1_data186	Insilico__DAMGO_and_5-HT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0
model1_data187	Insilico__DAMGO_and_5-HT01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0.1	0
model1_data188	Insilico__DAMGO_and_5-HT002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0.02	0
model1_data189	Insilico__DAMGO_and_5-HT0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0.005	0
model1_data189_1	Insilico__DAMGO_and_5-HT0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0.002	0
model1_data189_2	Insilico__DAMGO_and_5-HT0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0.001	0
model1_data190	Insilico__ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model1_data191	Insilico__Fentanyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
model1_data192_1	Insilico__Fentanyl_and_5-HT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0
model1_data192	Insilico__Fentanyl_and_5-HT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0
model1_data193	Insilico__Fentanyl_and_5-HT01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.1	0
model1_data194	Insilico__Fentanyl_and_5-HT002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.02	0
model1_data195	Insilico__Fentanyl_and_5-HT0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.005	0
model1_data195_1	Insilico__Fentanyl_and_5-HT0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.002	0
model1_data195_2	Insilico__Fentanyl_and_5-HT0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.001	0
model1_data196	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	10	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
model1_data197	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	10	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
model1_data198	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	10	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
model1_data199	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_10	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
model1_data200	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_2	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
model1_data201	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_50	10	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
