observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	experimentId	datasetId	replicateId
pRII_Microscopy	model1_data49	model1_data196	1000	0	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	1	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	5	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	15	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	30	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	60	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data196	1000	120	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_0016	
pRII_Microscopy	model1_data49	model1_data197	1000	0	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	1	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	5	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	15	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	30	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	60	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data197	1000	120	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_008	
pRII_Microscopy	model1_data49	model1_data198	1000	0	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	1	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	5	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	15	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	30	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	60	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data198	1000	120	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_04	
pRII_Microscopy	model1_data49	model1_data199	1000	0	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_10	
pRII_Microscopy	model1_data49	model1_data199	1000	1	s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB	Insilico__Fsk_Fentanyl__Rp8_Br_cAMPS_pAB_10	
