parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
KD_Fsk	KD_{Fsk}	log10	0.00001	1000	18.297535417936	1	parameterScaleNormal	1.15;0.231	parameterScaleNormal	0.845098040014257;0.2
KD_H89	KD_{H89}	log10	0.00001	1000	0.0479866700399871	1	parameterScaleNormal	-1.32;0.264	parameterScaleNormal	-1.318758762624413;0.2
KD_IBMX	KD_{IBMX}	log10	0.00001	1000	12.4629666348739	1	parameterScaleNormal	1.08;0.216	parameterScaleNormal	1.0;0.2
KD_cAMP	KD_{cAMP}	log10	0.00001	1000	2.89846244256985	1	parameterScaleNormal	0.45;0.091	parameterScaleNormal	0.462397997898956;0.2
b_Calpha_global	b_{Calpha,global}	log10	0.001	1000	100.054239008724	1	parameterScaleNormal	2.01;0.401	parameterScaleNormal	2;0.1
b_pRII_global	b_{pRII,global}	log10	0.001	1000	316.515004568187	1	parameterScaleNormal	2.0;0.4	parameterScaleNormal	2;0.1
kdeg_cAMP	kdeg_{cAMP}	log10	0.00001	1000	1.41481547712019E-05	1	parameterScaleNormal	-5.0;1.0		
kdeg_cAMP_free	kdeg_{cAMP,free}	log10	0.00001	1000	2.82895826842839	1	parameterScaleNormal	0.87;0.174		
kf_Fsk	kf_{Fsk}	log10	0.00001	10000	0.083974095434941	1	parameterScaleNormal	3.0;0.6		
kf_H89	kf_{H89}	log10	0.00001	1000	0.000806377221541545	1	parameterScaleNormal	-3.13;0.626		
kf_RII_2__RII_C_2	kf_{RII_2,RII_C_2}	log10	0.00001	100000	0.320697399159019	1	parameterScaleNormal	0.1;0.02		
kf_RII_C_2__RII_2	kf_{RII_C_2,RII_2}	log10	0.00001	1000	0.00659629454686169	1	parameterScaleNormal	-1.73;0.345		
kf_RII_C_2__RIIp_C_2	kf_{RII_C_2,RIIp_C_2}	log10	0.00001	1000	0.00670956470946285	1	parameterScaleNormal	-1.64;0.329		
kf_RIIp_2__RII_2	kf_{RIIp_2,RII_2}	log10	0.00001	1000	0.0203731144217432	1	parameterScaleNormal	-1.49;0.298		
kf_RIIp_C_2__RII_C_2	kf_{RIIp_C_2,RII_C_2}	log10	0.00001	1000	0.0119648170801696	1	parameterScaleNormal	-1.59;0.318		
kf_RIIp_cAMP_C_2__RIIp_2	kf_{RIIp_cAMP_C_2,RIIp_2}	log10	0.00001	1000	0.0344964913060792	1	parameterScaleNormal	-0.98;0.196		
kf_cAMP	kf_{cAMP}	log10	0.00001	1000	0.846429564857323	1	parameterScaleNormal	-0.3;0.06		
ki_IBMX	ki_{IBMX}	log10	0.00001	100000	3635.82211330264	1	parameterScaleNormal	3.0;0.6		
ki_Rp8_Br_cAMPS_pAB	ki_{Rp8,Br,cAMPS,pAB}	log10	0.00001	1000	4.45642830795671	1	parameterScaleNormal	0.81;0.162		
ki_Rp8_pCPT_cAMPS_pAB	ki_{Rp8,pCPT,cAMPS,pAB}	log10	0.00001	1000	5.50199791967697	1	parameterScaleNormal	0.97;0.195		
ki_Rp_cAMPS_pAB	ki_{Rp,cAMPS,pAB}	log10	0.00001	1000	0.0177866831565963	1	parameterScaleNormal	-1.79;0.357		
ki_Sp8_Br_cAMPS_AM	ki_{Sp8,Br,cAMPS,AM}	log10	0.00001	1000	0.0725004803265663	1	parameterScaleNormal	-0.88;0.176		
ks_AC_cAMP	ks_{AC,cAMP}	log10	0.00001	1000	0.12628399932842	1	parameterScaleNormal	-0.37;0.075		
rel_open	rel_{open}	log10	0.00001	1	0.203653111865597	1	parameterScaleNormal	-0.63;0.127		
s_Calpha_JI09_160201_Drg453_452_CycNuc	s_{Calpha,JI09,160201,Drg453,452,CycNuc}	log10	0.00001	1000	1	0				
s_Calpha_global	s_{Calpha,global}	log10	1000	3162.27766016838	2119.32058119411	1	parameterScaleNormal	3.25;0.649		
s_pRII_JI09_150302_Drg345_343_CycNuc	s_{pRII,JI09,150302,Drg345,343,CycNuc}	log10	0.001	1000	1.1748593691276	1	parameterScaleNormal	0.04;0.009	parameterScaleNormal	0;0.1
s_pRII_JI09_150330_Drg350_348_CycNuc	s_{pRII,JI09,150330,Drg350,348,CycNuc}	log10	0.001	1000	0.97305055975259	1	parameterScaleNormal	-0.04;0.009	parameterScaleNormal	0;0.1
s_pRII_JI09_150330_Drg353_351_CycNuc	s_{pRII,JI09,150330,Drg353,351,CycNuc}	log10	0.001	1000	0.994077857945268	1	parameterScaleNormal	-0.03;0.006	parameterScaleNormal	0;0.1
s_pRII_JI09_151102_Drg421_418_Age	s_{pRII,JI09,151102,Drg421,418,Age}	log10	0.001	1000	1.15741174197251	1	parameterScaleNormal	0.03;0.006	parameterScaleNormal	0;0.1
s_pRII_Western	s_{pRII,Western}	log10	0.1	100000	1.68187836585475	1	parameterScaleNormal	0.06;0.012		
s_pRII_global	s_{pRII,global}	log10	1000	3162.27766016838	2565.26380417289	1	parameterScaleNormal	3.34;0.669		
rho_Calpha_Microscopy	\rho_{Calpha,Microscopy}	log10	0.00001	1000	0.0401213422887679	1	parameterScaleNormal	-1.3;0.261		
rho_pRII_Microscopy	\rho_{pRII,Microscopy}	log10	0.00001	1000	0.0321381950880901	1	parameterScaleNormal	-1.39;0.278		
rho_pRII_Western	\rho_{pRII,Western}	log10	0.00001	1000	0.0679447227873077	1	parameterScaleNormal	-1.0;0.201		
xi_AC_cAMP_Fsk	\xi_{AC_{cAMP,Fsk}	log10	0.00001	100000	1184.98331643644	1	parameterScaleNormal	2.81;0.562		
xi_KD_Rp8_Br_cAMPS	\xi_{KD,Rp8,Br,cAMPS}	log10	0.00001	100000	0.0996332290165796	1	parameterScaleNormal	-1.4;0.28	parameterScaleNormal	0;3
