conditionId	conditionName	Fsk_level	Fsk_time	H89_level	H89_time	IBMX_level	IBMX_time	Rp8_Br_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_pCPT_cAMPS_pAB_time	Rp_cAMPS_pAB_level	Rp_cAMPS_pAB_time	Sp8_Br_cAMPS_AM_level	Sp8_Br_cAMPS_AM_time	fourABnOH_level	fourABnOH_time	Fentanyl_level	Fentanyl_time	DAMGO_level	DAMGO_time	fiveHT_level	fiveHT_time
model1_data1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
model1_data1_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0	0	0
model1_data1_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
model1_data1_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
model1_data1_4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
model1_data1_5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0
model1_data1_6	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0
model1_data1_7	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0
model1_data1_8	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0
model1_data1_9	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0
model1_data2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0
model1_data2_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0
model1_data2_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	0
model1_data2_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0
model1_data2_4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	0	0
model1_data2_5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0
model1_data2_6	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42	0	0	0	0	0	0
model1_data2_7	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44	0	0	0	0	0	0
model1_data3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	0	0	0	0	0
model1_data3_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0
model1_data3_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	0	0	0	0	0
model1_data3_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	0	0	0	0	0
model1_data3_4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	0	0	0	0	0	0
model1_data3_5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54	0	0	0	0	0	0
model1_data4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55	0	0	0	0	0	0
model1_data4_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	0	0	0	0	0	0
model1_data4_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	0	0	0	0	0	0
model1_data4_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	58	0	0	0	0	0	0
model1_data5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	59	0	0	0	0	0	0
