parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
AC_total	AC_{total}	log10	0.00001	1000	1	0				
RII2_total	RII2_{total}	log10	0.00001	1000	1	0				
fiveHT4_total	fiveHT4_total	log10	0.00001	1000	1	0				
MOR_total	MOR_total	log10	0.00001	1000	1	0				
alphaS_betaS_gammaS_total	alphaS_betaS_gammaS_total	log10	0.00001	1000	1	0				
alphaI_betaI_gammaI_total	alphaI_betaI_gammaI_total	log10	0.00001	1000	1	0				
KD_Fsk	KD_{Fsk}	log10	0.00001	1000	18.2578767950153	1	parameterScaleNormal	1.15;0.231	parameterScaleNormal	0.845098040014257;0.2
KD_H89	KD_{H89}	log10	0.00001	1000	0.0479675748307029	1	parameterScaleNormal	-1.32;0.264	parameterScaleNormal	-1.318758762624413;0.2
KD_IBMX	KD_{IBMX}	log10	0.00001	1000	12.4481304869518	1	parameterScaleNormal	1.08;0.216	parameterScaleNormal	1.0;0.2
KD_cAMP	KD_{cAMP}	log10	0.00001	1000	2.90142006805293	1	parameterScaleNormal	0.45;0.091	parameterScaleNormal	0.462397997898956;0.2
b_Calpha_global	b_{Calpha,global}	log10	0.001	1000	99.9394555377235	1	parameterScaleNormal	2.01;0.401	parameterScaleNormal	2;0.1
b_pRII_global	b_{pRII,global}	log10	0.001	1000	316.529155669327	1	parameterScaleNormal	2.0;0.4	parameterScaleNormal	2;0.1
kdeg_cAMP	kdeg_{cAMP}	log10	0.00001	1000	1.00000000000219E-05	1	parameterScaleNormal	-5.0;1.0		
kdeg_cAMP_free	kdeg_{cAMP,free}	log10	0.00001	1000	2.83538362878149	1	parameterScaleNormal	0.87;0.174		
kf_Fsk	kf_{Fsk}	log10	0.00001	10000	0.0844181392367991	1	parameterScaleNormal	3.0;0.6		
kf_H89	kf_{H89}	log10	0.00001	1000	0.000813832199249266	1	parameterScaleNormal	-3.13;0.626		
kf_RII_2__RII_C_2	kf_{RII_2,RII_C_2}	log10	0.00001	100000	0.322575563244189	1	parameterScaleNormal	0.1;0.02		
kf_RII_C_2__RII_2	kf_{RII_C_2,RII_2}	log10	0.00001	1000	0.00656478261918885	1	parameterScaleNormal	-1.73;0.345		
